,att_name,att_type
0,a-line,3
1,abstract,1
2,abstract chevron,1
3,abstract chevron print,1
4,abstract diamond,1
5,abstract floral,1
6,abstract floral print,1
7,abstract geo,1
8,abstract geo print,1
9,abstract paisley,1
10,abstract pattern,1
11,abstract print,1
12,abstract printed,1
13,abstract stripe,1
14,acid,2
15,acid wash,2
16,americana,5
17,angeles,5
18,animal,1
19,animal print,1
20,ankle,3
21,applique,2
22,arrow collar,4
23,art,5
24,asymmetric,3
25,asymmetrical,3
26,asymmetrical hem,4
27,athletic,5
28,audrey,5
29,babe,5
30,babydoll,5
31,back bow,4
32,back cutout,4
33,back knit,4
34,back lace,4
35,back striped,4
36,backless,4
37,baja,3
38,bandage,3
39,bandana,1
40,bandana print,1
41,barbie,5
42,baroque,1
43,baroque print,1
44,baseball,5
45,basic,5
46,basquiat,5
47,batwing,4
48,beach,5
49,bead,2
50,beaded,2
51,beaded chiffon,2
52,beaded collar,4
53,beaded sheer,2
54,beaded shift,3
55,beatles,5
56,bed,5
57,bejeweled,2
58,bell,4
59,bell-sleeve,4
60,bella,5
61,belted,4
62,belted chiffon,4
63,belted floral,4
64,belted floral print,4
65,belted lace,4
66,belted maxi,4
67,belted plaid,4
68,bermuda,3
69,bib,3
70,big,3
71,bike,5
72,biker,5
73,bird,1
74,bird print,1
75,blah,5
76,bleach,2
77,bleached,2
78,bleached denim,2
79,blurred,5
80,boat neck,4
81,bodycon,3
82,bodycon midi,3
83,boho,5
84,bold,5
85,botanical,1
86,botanical print,1
87,bow,4
88,bow-back,4
89,bow-front,4
90,box,3
91,box pleat,3
92,box-pleated,3
93,boxy,3
94,boxy crop,3
95,boxy knit,3
96,boxy lace,3
97,boxy pocket,4
98,boxy striped,1
99,boyfriend,5
100,braided,4
101,breton,1
102,breton stripe,1
103,brocade,2
104,brooklyn,5
105,brooklyn nets,5
106,brushstroke,1
107,brushstroke print,1
108,burnout,2
109,bustier,3
110,butterfly,1
111,butterfly print,1
112,button,4
113,button-front,4
114,buttoned,4
115,cable,2
116,cable knit,2
117,cable-knit,2
118,caged,3
119,california,5
120,camera,5
121,cami,3
122,cami crop,3
123,cami maxi,3
124,camo,1
125,camouflage,1
126,candy,5
127,canvas,2
128,cap-sleeve,4
129,capri,3
130,cardio,5
131,cargo,3
132,cat,5
133,chambray,2
134,chambray drawstring,2
135,checked,1
136,checkered,1
